,id,passing_accuracy(%),passes_attempted,passes_completed,crossing_accuracy(%),crosses_attempted,crosses_completed,free_kick_taken,matches_appearance
494,250081720,80,5,4,0,0,0,0,1
495,250112122,79.67,78,62,50,2,1,1,3
496,250142271,79.67,59,46,16.67,12,2,2,3
497,250088104,79.67,57,48,27.78,18,5,0,3
498,250097337,79.67,27,21,0,0,0,0,3
499,250122746,79.5,27,22,0,1,0,0,2
500,250065419,79.34,121,96,28.58,7,2,5,3
501,250064446,79.34,64,51,12.5,8,1,0,3
502,250129746,79.34,26,22,0,1,0,1,3
503,250110361,79,103,82,33.34,12,4,3,2
504,250132407,79,52,43,50,2,1,0,3
505,102153,79,49,39,0,1,0,0,2
506,250064274,79,40,31,0,2,0,0,3
507,250008901,79,29,23,100,1,1,0,1
508,250135615,79,24,19,0,0,0,0,2
509,250103758,79,20,16,0,1,0,0,3
510,250130414,78.67,107,87,26.67,15,4,5,3
511,250098471,78.67,100,80,14.29,7,1,5,3
512,250176450,78.67,81,64,0,1,0,1,3
513,250113276,78.67,65,52,33.34,6,2,0,3
514,250164785,78.5,74,58,0,3,0,2,2
515,1906511,78.5,9,6,0,0,0,1,2
516,250004363,78.34,116,92,42.86,7,3,2,3
517,250105927,78.34,63,49,50,2,1,0,3
518,250058722,78.34,37,29,20,5,1,0,3
519,250074010,78,86,66,0,4,0,6,3
520,250113947,78,48,40,0,5,0,0,2
521,250186923,78,37,29,100,1,1,1,1
522,250104089,78,31,27,0,0,0,2,2
523,250118281,78,26,20,0,1,0,0,3
524,250194557,78,23,18,0,0,0,1,1
525,250171045,78,18,14,0,2,0,1,1
526,250090719,78,9,7,0,0,0,0,1
527,250134320,77.67,70,57,0,0,0,2,3
528,250128468,77.5,36,26,0,0,0,0,2
529,250174849,77.5,32,26,0,0,0,0,2
530,250086037,77.34,158,123,50,4,2,2,3
531,250077679,77.34,147,119,25,20,5,9,3
532,250063980,77.34,112,86,0,0,0,8,3
533,250085475,77.34,106,84,0,0,0,5,3
534,250158901,77.34,67,53,0,0,0,6,3
535,250196712,77.34,45,36,0,3,0,0,3
536,250124430,77,95,74,0,3,0,0,3
537,250101144,77,90,69,0,0,0,4,2
538,250029318,77,74,60,0,2,0,0,3
539,250117705,77,57,44,25,4,1,0,3
540,250130234,77,56,43,20,15,3,0,3
541,250097909,77,56,43,0,1,0,0,3
542,250101472,77,32,26,0,1,0,0,2
543,250123910,77,16,12,0,0,0,0,3
544,250105681,77,13,10,0,0,0,0,1
545,250076357,76.67,129,99,22.23,9,2,4,3
546,1905153,76.67,89,68,45.46,11,5,3,3
547,250187143,76.67,52,37,16.67,6,1,0,3
548,250024795,76.5,16,12,0,1,0,1,2
549,250145629,76.34,118,91,20,5,1,2,3
550,250123304,76.34,87,65,0,0,0,8,3
551,250169706,76.34,49,39,0,2,0,0,3
552,250066886,76,73,55,10,10,1,1,2
553,250135339,76,65,49,16.67,6,1,0,2
554,250052744,76,63,47,0,0,0,4,2
555,250103562,76,45,32,0,3,0,1,2
556,250073778,76,42,32,0,0,0,3,1
557,250117415,76,29,22,0,0,0,3,1
558,250125538,75.67,81,62,33.34,6,2,1,3
559,250146674,75.67,69,53,0,1,0,0,3
560,250156457,75.67,61,48,0,0,0,4,3
561,250112842,75.5,57,44,0,1,0,0,2
562,250143328,75.5,37,30,0,1,0,0,2
563,250121533,75,106,80,33.34,12,4,0,3
564,250134138,75,75,58,0,5,0,0,3
565,1905643,75,36,27,0,1,0,2,1
566,250091175,75,35,30,0,2,0,0,2
567,250197958,75,16,12,0,0,0,0,1
568,250099399,75,12,9,0,0,0,0,1
569,250124222,75,5,4,0,0,0,0,2
570,250140936,75,4,3,0,1,0,0,1
571,250134190,75,4,3,0,0,0,0,1
572,250121017,74.67,161,118,0,0,0,0,3
573,250097638,74.67,72,56,33.34,6,2,0,3
574,250181460,74.67,21,16,0,0,0,0,3
575,250099867,74.5,85,63,0,0,0,3,2
576,250003318,74.5,39,29,66.67,3,2,0,2
577,250061361,74,36,26,0,0,0,0,3
578,250091187,74,27,19,0,1,0,0,2
579,250052469,73.67,76,55,50,4,2,0,3
580,250162177,73.67,45,34,25,4,1,0,3
581,250141861,73.5,28,19,0,2,0,0,2
582,250113993,73.34,46,34,100,1,1,1,3
