,id_player,player_name,nationality,field_position,position,weight(kg),height(cm),age,id_team,player_image
538,250193531,Benjamin Rollheiser,Argentina,Forward,,,,24,50147,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250193531.jpg
539,250054949,Kingsley Coman,France,Forward,WINGER,71.0,178.0,28,50037,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250054949.jpg
540,103806,Matteo Darmian,Italy,Defender,FULL_BACK,70.0,182.0,34,50138,https://img.uefa.com/imgml/TP/players/1/2025/324x324/103806.jpg
541,250077453,Nathan Tella,Nigeria,Forward,UNKNOWN,,,25,50109,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250077453.jpg
542,250174849,Ramiz Zerrouki,Algeria,Midfielder,UNKNOWN,,,26,52749,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250174849.jpg
543,250027008,Nathan Aké,Netherlands,Defender,UNKNOWN,75.0,180.0,29,52919,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250027008.jpg
544,250090809,Tomáš Wiesner,Czechia,Defender,FULL_BACK,,,27,50033,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250090809.jpg
545,250121329,Nordi Mukiele,France,Defender,FULL_BACK,,,27,50109,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250121329.jpg
546,250142158,Ermal Krasniqi,Kosovo,Midfielder,UNKNOWN,,,26,50033,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250142158.jpg
547,250123910,Erencan Yardımcı,Türkiye,Forward,UNKNOWN,,,22,50111,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250123910.jpg
548,250080572,Mikel Merino,Spain,Midfielder,CENTRAL_MIDFIELDER,,,28,52280,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250080572.jpg
549,250187671,Newertton,Brazil,Midfielder,UNKNOWN,,,19,52707,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250187671.jpg
550,250112117,Tommaso Pobega,Italy,Midfielder,CENTRAL_MIDFIELDER,,,25,52969,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250112117.jpg
551,250193506,Amady Camara,Mali,Forward,,,,19,50111,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250193506.jpg
552,250058044,Davide Calabria,Italy,Defender,FULL_BACK,,,27,50058,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250058044.jpg
553,250194573,Endrick,Brazil,Forward,,,,18,50051,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250194573.jpg
554,250015966,Juan Cuadrado,Colombia,Midfielder,UNKNOWN,66.0,176.0,36,52816,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250015966.jpg
555,250118797,Folarin Balogun,USA,Forward,STRIKER,,,23,50023,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250118797.jpg
556,250055899,Alexander Schlager,Austria,Goalkeeper,GOALKEEPER,,,28,50030,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250055899.jpg
557,250105686,Michał Skóraś,Poland,Forward,WINGER,,,24,50043,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250105686.jpg
558,250163731,Yan Couto,Brazil,Defender,UNKNOWN,,,22,52758,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250163731.jpg
