id_player,passing_accuracy(%),passes_attempted,passes_completed,crossing_accuracy(%),crosses_attempted,crosses_completed,free_kick_taken,matches_appearance
250064027,91.75,118,109,0,1,0,10,4
250083732,91.67,150,138,0,7,0,2,3
250135416,91.67,94,88,20,5,1,1,3
250155799,91.67,93,85,0,0,0,2,3
250089209,91.67,25,24,33.34,3,1,0,3
250188225,91.67,15,13,0,0,0,1,3
250116734,91.5,279,255,0,0,0,9,4
250029535,91.5,271,246,38.71,31,12,2,4
250014042,91.5,246,227,0,1,0,7,4
250076126,91.5,219,202,37.5,8,3,7,4
250101534,91.5,198,181,23.81,21,5,4,4
250022829,91.5,109,100,28.58,7,2,6,2
250123978,91.5,51,45,0,0,0,1,2
250127538,91.5,47,43,25,4,1,1,2
250177722,91.5,44,41,0,1,0,1,2
250193531,91.5,36,33,100,1,1,1,2
50327423,91.5,34,31,0,0,0,0,2
250127439,91.34,197,183,0,0,0,1,3
250040471,91.34,193,178,0,0,0,14,3
250106935,91.34,54,51,100,1,1,2,3
250134856,91,381,348,100,1,1,4,4
250112217,91,258,235,42.86,7,3,3,3
250124068,91,213,195,0,1,0,7,3
250113001,91,206,189,0,0,0,2,4
1909917,91,192,175,33.34,3,1,6,3
250131901,91,178,166,0,0,0,4,3
250129341,91,143,130,0,0,0,5,3
97923,91,127,113,0,0,0,5,3
250181712,91,124,113,0,0,0,5,2
250066156,91,118,107,0,2,0,0,2
250124460,91,94,85,100,1,1,1,3
250082664,91,91,83,0,1,0,1,1
250101201,91,84,74,0,0,0,2,3
250113392,91,78,69,0,0,0,0,3
250011668,91,66,59,0,0,0,6,2
250052957,91,51,48,0,0,0,2,2
250019616,91,51,45,25,4,1,1,4
250121329,91,44,40,0,1,0,2,1
250056982,91,11,10,0,0,0,2,1
250163454,90.75,286,262,0,1,0,2,4
250122213,90.75,160,151,0,1,0,3,4
250041626,90.67,182,165,0,1,0,4,3
250176453,90.67,171,158,0,0,0,4,3
250153849,90.67,166,151,33.34,3,1,0,3
250064188,90.67,165,151,0,0,0,3,3
250187221,90.67,133,122,0,0,0,4,3
250166916,90.67,22,19,0,1,0,0,3
250128377,90.5,159,143,100,1,1,2,4
250121132,90.5,121,108,0,1,0,2,4
250194564,90.5,88,82,0,3,0,1,2
250039931,90.5,84,78,0,0,0,3,2
250067334,90.5,72,64,50,2,1,0,2
250122187,90.5,71,65,0,0,0,2,2
1906768,90.5,54,48,0,0,0,1,2
250127492,90.34,174,159,0,0,0,7,3
250061027,90.34,129,117,66.67,3,2,2,3
250121584,90.34,107,94,38.47,13,5,2,3
250116951,90.34,104,94,0,2,0,3,3
250027780,90.34,90,78,25,4,1,2,3
250191448,90.34,80,75,0,0,0,1,3
250112974,90.34,57,52,100,1,1,1,3
250063984,90.34,39,35,0,2,0,0,3
250117806,90.34,30,24,30,10,3,3,3
250128222,90.34,16,14,0,0,0,0,3
250055663,90,248,225,0,0,0,6,4
250051754,90,238,215,0,1,0,4,4
250064444,90,211,190,0,1,0,6,3
250088061,90,181,163,10,10,1,5,3
250128255,90,172,162,33.34,6,2,10,4
250091199,90,152,137,0,2,0,5,3
97746,90,146,132,0,0,0,4,3
250196588,90,114,103,0,1,0,1,3
250112513,90,51,46,0,0,0,2,1
250019346,90,50,45,0,0,0,2,1
250187184,90,49,44,0,3,0,0,3
250056189,90,21,19,50,6,3,1,1
250055149,90,21,19,0,0,0,1,1
250058215,90,16,15,0,1,0,1,2
250153701,90,15,13,0,0,0,0,2
250087967,90,13,12,0,0,0,0,2
250118912,90,9,8,0,0,0,1,2
250135607,90,6,5,0,0,0,1,2
250068808,89.75,334,303,0,0,0,8,4
250137390,89.75,220,197,0,0,0,11,4
250058227,89.75,115,103,8.34,12,1,5,4
250096716,89.75,60,52,50,4,2,5,4
250070417,89.67,268,242,36.85,19,7,8,3
250053044,89.67,204,184,0,0,0,2,3
250028715,89.67,175,155,25,4,1,1,3
250081921,89.67,136,126,0,1,0,3,3
250110734,89.67,107,96,28.58,7,2,8,3
250121330,89.67,93,83,50,2,1,5,3
250166930,89.67,93,83,0,0,0,4,3
250161881,89.67,28,24,33.34,3,1,0,3
250055110,89.67,28,24,0,0,0,0,3
250172787,89.5,139,124,0,0,0,5,2
250197796,89.5,95,90,0,0,0,4,2
250138985,89.5,30,28,0,0,0,1,2
250080572,89.5,19,17,0,1,0,0,2
250126449,89.34,177,158,0,4,0,3,3
250129965,89.34,148,132,0,1,0,5,3
250113142,89.34,85,75,17.65,17,3,0,3
250173502,89.34,76,68,0,3,0,2,3
250112690,89.34,67,57,30,10,3,0,3
250023097,89.25,177,159,0,1,0,12,4
250118391,89.25,166,147,0,0,0,5,4
250096849,89.25,78,68,10,10,1,1,4
250158476,89,150,137,0,3,0,4,3
250096309,89,140,126,33.34,3,1,6,3
250135101,89,131,115,0,0,0,3,3
250078922,89,58,52,0,0,0,5,2
250007075,89,55,49,0,0,0,3,2
250189052,89,47,41,25,4,1,3,2
250117491,89,36,32,0,0,0,0,1
250088039,89,19,17,0,2,0,0,1
250132465,89,10,8,0,3,0,0,2
250172227,89,9,8,0,0,0,0,1
250096698,88.75,149,133,55.56,9,5,3,4
250121149,88.75,138,122,0,2,0,3,4
250024370,88.67,100,91,33.34,3,1,0,3
250139445,88.5,192,172,20,5,1,0,4
250024349,88.5,102,91,33.34,3,1,5,4
250174830,88.5,67,59,0,0,0,1,2
250057117,88.5,49,43,0,4,0,0,2
250146610,88.5,42,34,0,1,0,0,4
250042632,88.5,39,34,33.34,3,1,0,2
250105686,88.5,25,20,0,1,0,0,2
250068805,88.5,18,15,0,0,0,0,2
250136465,88.34,210,188,10,10,1,4,3
250188474,88.34,171,151,0,2,0,4,3
250016616,88.34,131,120,0,1,0,4,3
250069832,88.34,112,100,0,0,0,3,3
250101727,88.34,103,91,100,1,1,3,3
250017824,88.25,213,197,0,0,0,10,4
250102866,88.25,154,138,0,2,0,1,4
250168465,88.25,38,34,0,1,0,0,4
250123677,88,174,152,25,8,2,4,4
250092668,88,153,136,0,4,0,7,3
74954,88,145,126,0,0,0,8,4
250118964,88,136,120,60,5,3,1,3
250140940,88,128,112,27.28,11,3,10,4
250019573,88,121,110,0,0,0,2,3
250064252,88,107,96,0,1,0,2,3
250091172,88,103,91,0,3,0,2,3
250115436,88,68,60,50,2,1,3,3
250172340,88,27,21,0,0,0,1,2
250171667,88,25,22,0,0,0,2,1
250177423,88,25,22,0,0,0,0,1
250164004,88,17,15,0,2,0,0,1
250055899,88,17,15,0,0,0,1,1
250107089,88,8,7,0,1,0,1,1
250172672,87.75,190,167,0,0,0,5,4
250090766,87.67,150,133,26.32,19,5,2,3
250071671,87.67,31,27,0,1,0,1,3
250042422,87.5,216,187,17.65,17,3,5,4
250163623,87.5,203,180,14.29,7,1,4,4
250160436,87.5,167,146,44.45,18,8,1,4
250058258,87.5,149,129,25,8,2,7,4
250112224,87.5,140,130,0,1,0,3,4
250064482,87.5,103,91,40,5,2,5,2
250087877,87.5,57,49,0,0,0,6,2
