,id,player_name,nationality,field_position,position,weight(kg),height(cm),age,team_id,minutes_played,matches_appareance,goals,assists,distance_covered(km/h),top_speed,player_image
121,250086316,Thomas Partey,Ghana,Midfielder,DEFENSIVE_MIDFIELDER,73.0,185.0,31,52280,212,3,0,0,25.97,31.99,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250086316.jpg
122,250145629,Alexander Bah,Denmark,Defender,FULL_BACK,,,26,50147,211,3,1,1,25.58,33.76,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250145629.jpg
123,250187221,Thomas Beelen,Netherlands,Defender,,,,23,52749,211,3,0,0,24.32,32.86,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250187221.jpg
124,250112803,Ferland Mendy,France,Defender,FULL_BACK,,,29,50051,210,3,0,0,22.71,33.37,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250112803.jpg
125,250113276,Jeremie Frimpong,Netherlands,Defender,FULL_BACK,,,23,50109,207,3,0,3,24.99,35.38,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250113276.jpg
126,250164991,João Neves,Portugal,Midfielder,UNKNOWN,,,20,52747,207,3,0,0,28.81,31.7,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250164991.jpg
127,250163786,Joaquin Seys,Belgium,Defender,UNKNOWN,,,19,50043,207,3,0,0,25.19,32.98,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250163786.jpg
128,250058258,Benjamin Henrichs,Germany,Defender,UNKNOWN,77.0,183.0,27,2603790,205,3,0,0,22.92,33.07,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250058258.jpg
129,250005335,İlkay Gündoğan,Germany,Midfielder,CENTRAL_MIDFIELDER,80.0,180.0,34,52919,204,3,1,0,26.27,27.85,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250005335.jpg
130,250142271,Max Johnston,Scotland,Defender,,,,20,50111,201,3,0,0,28.08,31.69,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250142271.jpg
131,250113237,Nicolò Fagioli,Italy,Midfielder,UNKNOWN,,,23,50139,201,3,0,0,26.6,30.72,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250113237.jpg
132,250128255,Emerson,Brazil,Defender,UNKNOWN,,,25,50058,201,3,0,0,25.04,32.11,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250128255.jpg
133,250051291,Janis Blaswich,Germany,Goalkeeper,UNKNOWN,,193.0,33,50030,201,3,0,0,13.31,25.51,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250051291.jpg
134,250112400,Riccardo Orsolini,Italy,Midfielder,WINGER,,,27,52969,200,3,0,0,24.07,34.14,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250112400.jpg
135,250118391,Edmond Tapsoba,Burkina Faso,Defender,CENTRE_BACK,,,25,50109,198,3,0,1,23.37,32.0,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250118391.jpg
136,250058722,Lukáš Haraslín,Slovakia,Midfielder,UNKNOWN,,,28,50033,198,3,0,1,23.2,30.6,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250058722.jpg
137,250004721,Granit Xhaka,Switzerland,Midfielder,CENTRAL_MIDFIELDER,82.0,185.0,32,50109,198,3,0,0,26.15,31.34,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250004721.jpg
138,250086037,Rodrigo De Paul,Argentina,Midfielder,UNKNOWN,,,30,50124,198,3,0,0,23.33,31.13,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250086037.jpg
139,250113993,Matěj Ryneš,Czechia,Defender,CENTRAL_MIDFIELDER,,,23,50033,197,3,0,0,23.18,33.37,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250113993.jpg
140,250112690,Denzel Dumfries,Netherlands,Defender,FULL_BACK,,,28,50138,195,3,0,0,23.73,33.48,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250112690.jpg
141,250171184,Michael Olise,France,Midfielder,UNKNOWN,,,22,50037,194,3,2,0,25.58,31.29,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250171184.jpg
142,250017824,Emre Can,Germany,Defender,DEFENSIVE_MIDFIELDER,82.0,184.0,30,52758,194,3,1,1,24.86,33.52,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250017824.jpg
