id_player,balls_recovered,tackles,tackles_won,tackles_lost,clearance_attempted
250174126,51,4,1,3,11
250188247,42,5,1,4,19
250162325,40,5,4,1,15
250016616,39,10,7,3,36
250017040,39,8,4,4,31
250139010,39,4,0,4,11
250188511,38,6,4,2,13
250121218,37,3,0,3,16
250087118,36,9,7,2,22
250089225,35,16,8,8,5
250014709,35,9,6,3,8
250000679,35,7,5,2,28
250158476,35,3,2,1,22
250064064,35,1,1,0,13
250025791,34,17,8,9,8
250132323,34,7,2,5,18
250085369,34,5,2,3,5
250187672,34,5,1,4,16
250127492,34,2,1,1,23
104733,33,10,7,3,24
250169730,33,10,5,5,12
250068808,33,10,3,7,11
250055663,33,7,2,5,15
250174149,33,2,2,0,13
250079545,32,10,6,4,8
250117410,32,7,4,3,17
250019573,32,6,2,4,16
250163454,32,5,2,3,15
250196586,31,12,11,1,34
250113001,31,9,4,5,4
250079677,31,5,3,2,4
250131901,31,3,1,2,22
250058258,30,11,4,7,6
250158901,30,4,2,2,25
250076126,30,3,1,2,9
250196709,29,14,6,8,6
250153945,29,11,3,8,11
250124068,29,7,2,5,17
250123695,29,4,3,1,6
250136465,28,9,5,4,10
250116734,28,7,4,3,14
250091013,28,6,1,5,17
250101557,27,10,6,4,6
250077679,27,10,3,7,10
250063505,27,7,4,3,20
250200308,27,6,4,2,22
250135672,27,5,2,3,17
250088061,27,5,1,4,5
250123677,26,13,6,7,9
103335,26,7,1,6,6
250028211,26,6,2,4,19
250067630,26,6,1,5,10
50327420,26,5,3,2,14
250096309,26,3,1,2,11
50327428,26,2,2,0,19
250181680,25,15,8,7,18
250090766,25,14,9,5,16
250102866,25,14,9,5,10
250004721,25,9,3,6,5
250130786,25,8,4,4,30
250004363,25,8,4,4,11
250128120,25,7,4,3,8
250129341,25,7,3,4,14
250148830,25,6,3,3,33
250131541,25,6,3,3,9
250023097,25,6,2,4,9
250127439,25,5,3,2,15
250014042,25,5,3,2,8
250051754,25,4,4,0,14
250132401,25,1,0,1,23
250138928,24,13,7,6,0
250121149,24,12,9,3,27
250091290,24,11,4,7,1
250134856,24,9,6,3,12
250053044,24,9,4,5,20
250070417,24,8,2,6,0
250092668,24,6,4,2,24
250129965,23,20,8,12,5
250169764,23,18,6,12,7
250065419,23,13,7,6,11
250052554,23,12,5,7,4
250118391,23,10,2,8,15
250163786,23,9,6,3,20
250022829,23,6,3,3,2
250172907,23,5,3,2,13
250028715,23,3,1,2,13
250040471,23,2,1,1,15
250064444,23,1,0,1,27
250160568,22,10,4,6,12
250112974,22,8,3,5,16
250198240,22,7,3,4,6
250085751,22,7,2,5,19
250113993,22,5,2,3,10
250145803,22,5,2,3,0
250161248,22,4,3,1,13
250127284,22,3,1,2,4
250136464,22,2,2,0,11
250055660,22,1,0,1,18
250101727,21,14,6,8,3
250102868,21,11,4,7,17
250196588,21,10,1,9,6
250064027,21,8,4,4,2
