,id_player,fouls_committed,fouls_suffered,yellow_cards,red_cards
0,250112690,13,7,1,0
1,250129965,11,9,1,0
2,250105927,11,8,0,0
3,250065419,11,4,2,0
4,250132811,11,4,0,0
5,250087938,10,7,0,0
6,250091290,10,5,2,0
7,250198240,9,12,2,0
8,250025791,9,7,2,0
9,250121149,9,7,1,0
10,250132407,9,6,3,0
11,250106939,9,6,0,0
12,250121132,9,2,2,0
13,250134536,9,2,1,0
14,250191448,9,1,1,0
15,250128377,8,12,1,0
16,250101727,8,7,1,0
17,250167111,8,6,0,0
18,250017824,8,6,0,0
19,250169730,8,5,0,0
20,250196588,8,5,0,0
21,250171301,8,5,0,0
22,250121533,8,4,2,0
23,250147342,8,3,1,0
24,250169764,8,2,2,0
25,250081553,8,2,1,0
26,250089225,8,1,1,0
27,250055957,8,1,1,0
28,250112186,8,1,0,0
29,250053044,8,0,1,0
30,250200228,7,14,2,0
31,250088061,7,12,1,0
32,250112224,7,11,0,0
33,250064274,7,10,1,0
34,250136465,7,8,2,0
35,250112122,7,8,0,0
36,250124460,7,8,0,0
37,250144858,7,7,1,0
38,250172672,7,6,3,0
39,250102868,7,5,3,0
40,250102035,7,5,2,0
41,250096954,7,5,1,0
42,250119677,7,4,2,0
43,250079383,7,4,2,0
44,250196712,7,4,1,0
45,250132323,7,3,2,1
46,250174126,7,3,0,0
47,250161141,7,3,0,0
48,250089289,7,2,2,0
49,250086315,7,2,2,0
50,250189047,7,2,1,0
51,250115192,7,2,0,0
52,250004721,7,1,1,0
53,250139010,7,1,1,0
54,250187238,6,12,2,0
55,250196709,6,12,0,0
56,250128398,6,11,1,0
57,250160436,6,9,0,0
58,250066886,6,8,2,1
59,250096849,6,8,0,0
60,250128270,6,6,2,0
61,250091199,6,6,1,0
62,250130414,6,6,0,0
63,250078012,6,6,0,0
64,250176450,6,6,0,0
65,250127538,6,6,0,0
66,250194673,6,6,0,0
67,250174063,6,6,0,0
68,250161248,6,5,1,0
69,250148830,6,5,1,0
70,250078593,6,5,0,0
71,250161140,6,4,1,0
72,250099180,6,4,0,0
73,250064252,6,3,1,0
74,250127111,6,3,1,0
75,250171067,6,3,1,0
76,250054949,6,3,1,0
77,250163454,6,3,0,0
78,250176453,6,3,0,0
79,250052554,6,3,0,0
80,250103243,6,2,2,1
81,250171283,6,2,1,0
82,250068733,6,2,1,0
83,1906768,6,2,1,0
84,250127284,6,2,0,0
85,250058227,6,2,0,0
86,250135339,6,2,0,0
87,250142158,6,2,0,0
88,250056685,6,1,0,0
89,250055663,6,0,2,0
90,250079545,6,0,1,0
91,250028211,6,0,1,0
92,250132810,6,0,0,0
93,250123677,5,11,2,0
94,250181680,5,11,2,0
95,250117405,5,10,1,0
96,250113276,5,9,2,0
97,250064027,5,9,0,0
98,250188474,5,7,3,0
99,250140940,5,6,2,0
100,250066739,5,6,1,0
101,250102308,5,6,1,0
102,250157930,5,5,2,0
103,250132730,5,5,2,0
104,250134728,5,5,1,0
105,250135101,5,5,0,1
106,250101728,5,5,0,0
107,250066747,5,5,0,0
108,250116734,5,4,1,0
109,250112978,5,4,1,0
110,250145803,5,4,1,0
111,250132831,5,4,1,0
112,250156235,5,4,0,0
113,250049573,5,3,2,0
114,250005343,5,3,1,0
115,250118391,5,3,0,0
116,250061361,5,3,0,0
117,250172787,5,3,0,0
118,250041770,5,2,2,0
119,250130786,5,2,1,0
120,250077679,5,2,1,0
121,250156457,5,2,1,0
122,250144965,5,2,1,0
123,250085369,5,2,0,0
124,250169706,5,2,0,0
125,250153849,5,2,0,0
126,74699,5,1,2,0
127,250112803,5,1,1,0
128,250079677,5,1,1,0
129,250092517,5,1,1,0
130,250171184,5,1,1,0
131,250107324,5,1,1,0
132,250046522,5,1,0,0
133,250113947,5,1,0,0
134,250129341,5,0,1,0
135,250063957,5,0,1,0
136,250123910,5,0,1,0
137,250090809,5,0,0,0
138,250124222,5,0,0,0
139,250013022,4,13,1,0
140,250016616,4,9,1,0
141,250106967,4,8,2,0
142,250024456,4,7,3,0
143,250183519,4,7,0,0
144,250098471,4,6,4,1
145,250124068,4,6,3,0
146,250129746,4,6,1,0
147,250112969,4,6,0,0
148,250113373,4,6,0,0
149,250144297,4,6,0,0
150,250132886,4,5,2,0
151,250101557,4,5,1,0
152,250068808,4,5,1,0
153,250089228,4,5,1,0
154,250187759,4,5,0,0
155,250068805,4,5,0,0
156,250168990,4,4,2,1
157,104733,4,4,1,0
158,250169705,4,4,1,0
159,250167977,4,4,1,0
160,250071671,4,4,1,0
161,250056159,4,4,0,0
162,250041626,4,4,0,0
163,250113103,4,4,0,0
164,250086263,4,4,0,0
165,250177722,4,3,2,0
166,250113001,4,3,1,0
167,250090766,4,3,1,0
168,250085751,4,3,1,0
169,250110734,4,3,1,0
170,250058258,4,3,1,0
171,250104075,4,3,1,0
