id_player,passing_accuracy(%),passes_attempted,passes_completed,crossing_accuracy(%),crosses_attempted,crosses_completed,free_kick_taken,matches_appearance
250135672,91.5,188,173,0,0,0,5,4
250101728,91.5,154,143,33.34,6,2,7,4
250164835,91.5,119,109,0,8,0,2,4
250106935,91.5,115,107,100,1,1,2,4
250123978,91.5,51,45,0,0,0,1,2
250164991,91.4,290,265,0,1,0,11,5
250189052,91.34,95,87,30,10,3,3,3
250126449,91.25,209,189,0,4,0,5,4
250066157,91.25,154,136,16.67,12,2,4,4
250129965,91.2,342,314,50,2,1,13,5
250076126,91.2,280,257,25,16,4,8,5
250113001,91.2,271,249,0,0,0,2,5
250161141,91.2,143,128,0,0,0,3,5
250070417,91,465,427,27.59,29,8,15,5
250112217,91,430,392,41.67,12,5,15,5
250163454,91,346,317,0,1,0,3,5
250197796,91,185,175,0,0,0,5,3
250066156,91,118,107,0,2,0,0,2
250082664,91,91,83,0,1,0,1,1
250082469,91,72,61,66.67,3,2,0,5
250052957,91,51,48,0,0,0,2,2
250121329,91,44,40,0,1,0,2,1
250132465,91,40,36,0,5,0,2,4
250089209,91,34,32,20,5,1,1,4
250056861,91,24,22,0,3,0,0,2
250132399,90.8,281,256,100,1,1,8,5
103335,90.75,158,145,0,0,0,5,4
250128398,90.75,145,132,0,0,0,9,4
250193531,90.75,43,39,100,1,1,1,4
1906768,90.67,124,112,0,0,0,2,3
250064027,90.6,153,139,50,2,1,10,5
250136464,90.5,240,217,0,0,0,4,4
250194564,90.5,88,82,0,3,0,1,2
250117491,90.5,62,56,0,0,0,1,2
250051754,90.4,304,276,0,1,0,8,5
102420,90.4,210,192,0,0,0,11,5
250112978,90.4,187,170,33.34,3,1,4,5
250121584,90.4,139,123,30,20,6,5,5
250067334,90.34,142,127,50,6,3,0,3
250128222,90.34,16,14,0,0,0,0,3
250064232,90.25,186,167,44.45,18,8,2,4
250069832,90.25,140,127,0,0,0,5,4
250113392,90.25,104,92,0,0,0,0,4
250121552,90.25,29,25,25,4,1,0,4
250173502,90.2,94,85,0,3,0,2,5
250128377,90,199,178,100,1,1,2,5
74954,90,190,170,0,0,0,9,5
250083732,90,183,166,11.12,9,1,2,4
250091828,90,109,97,25,16,4,1,4
250042779,90,100,92,100,1,1,6,2
250019346,90,81,73,0,0,0,2,2
250112513,90,51,46,0,0,0,2,1
250055149,90,21,19,0,0,0,1,1
250180810,90,11,10,0,0,0,0,2
250118912,90,9,8,0,0,0,1,2
250130771,90,7,6,0,0,0,0,2
250118391,89.8,256,230,0,0,0,6,5
250124460,89.8,151,135,28.58,7,2,1,5
250187184,89.8,96,86,0,6,0,0,5
250096849,89.8,91,80,9.1,11,1,1,5
250188474,89.75,224,201,0,3,0,4,4
250137390,89.75,220,197,0,0,0,11,4
250091172,89.75,124,111,0,3,0,2,4
250124169,89.75,117,104,22.23,9,2,0,4
250185976,89.67,33,28,25,8,2,0,3
250196664,89.67,32,28,0,0,0,0,3
250131901,89.6,277,252,0,1,0,9,5
250023097,89.6,230,207,0,1,0,12,5
250022829,89.5,216,194,33.34,9,3,15,4
250040521,89.5,154,136,12.5,8,1,1,4
250172787,89.5,139,124,0,0,0,5,2
250138985,89.5,30,28,0,0,0,1,2
250079003,89.4,139,126,60,5,3,9,5
250113142,89.34,85,75,17.65,17,3,0,3
250193534,89.34,14,12,0,0,0,0,3
250081721,89.25,121,107,0,0,0,5,4
250068808,89.2,421,379,50,2,1,8,5
250092668,89.2,295,266,0,4,0,11,5
250187221,89.2,174,158,0,0,0,4,5
98078,89.2,170,150,0,1,0,6,5
250028715,89,230,203,25,4,1,3,4
97923,89,216,188,0,0,0,7,5
250158476,89,213,193,0,3,0,5,5
250135101,89,185,163,0,0,0,5,4
250191448,89,114,104,0,0,0,1,4
250186123,89,67,58,0,0,0,7,2
250135607,89,58,50,0,2,0,3,3
250007075,89,55,49,0,0,0,3,2
250101696,89,42,39,0,0,0,0,4
250187067,89,25,19,0,4,0,0,3
250112224,88.8,210,196,0,1,0,4,5
250085751,88.8,206,186,0,0,0,6,5
250096716,88.8,86,74,40,5,2,5,5
250117410,88.75,237,215,0,1,0,5,4
250091199,88.75,205,182,14.29,7,1,8,4
250055663,88.6,295,264,0,0,0,7,5
250086316,88.6,260,233,0,0,0,1,5
250124068,88.5,277,247,33.34,3,1,8,4
108908,88.5,100,91,0,0,0,1,2
250161881,88.5,54,46,50,4,2,1,4
250057117,88.5,49,43,0,4,0,0,2
250105686,88.5,25,20,0,1,0,0,2
250105681,88.5,16,13,0,0,0,0,2
250163623,88.4,263,235,14.29,7,1,5,5
250153849,88.4,241,216,33.34,3,1,0,5
250123677,88.4,224,197,30,10,3,5,5
250110734,88.4,187,166,33.34,15,5,14,5
250017824,88.25,213,197,0,0,0,10,4
250171283,88.25,201,176,0,7,0,8,4
250078593,88.25,175,154,0,2,0,4,4
250055110,88.25,53,45,0,0,0,0,4
250168465,88.25,38,34,0,1,0,0,4
250053044,88.2,314,279,0,0,0,3,5
250042422,88.2,285,250,27.28,22,6,9,5
250106969,88.2,235,208,25,20,5,8,5
250019573,88,282,253,0,0,0,3,5
250118964,88,236,207,50,6,3,4,5
250042780,88,166,142,0,0,0,9,5
250188223,88,93,82,16.67,6,1,1,4
250063957,88,65,54,50,4,2,2,3
250174851,88,61,52,0,3,0,1,4
250166916,88,42,35,14.29,7,1,1,4
250171667,88,25,22,0,0,0,2,1
250064310,88,25,22,0,0,0,0,1
250107089,88,8,7,0,1,0,1,1
250178067,88,8,7,0,0,0,1,1
250088061,87.8,336,297,25,16,4,10,5
250064444,87.8,291,258,0,1,0,13,5
250127492,87.8,262,233,0,0,0,12,5
250064252,87.8,154,137,0,1,0,3,5
98023,87.8,130,120,0,1,0,0,5
250101144,87.75,144,122,0,0,0,7,4
250166930,87.75,115,101,0,1,0,4,4
250129735,87.67,49,42,0,0,0,2,3
250161142,87.67,32,30,50,2,1,1,3
250096309,87.6,262,230,8.34,12,1,7,5
250143693,87.6,251,223,40,5,2,10,5
250096698,87.6,179,158,35.3,17,6,6,5
250116951,87.6,160,140,0,2,0,7,5
250064482,87.5,103,91,40,5,2,5,2
250193518,87.5,50,43,0,3,0,1,4
250121536,87.5,23,20,0,0,0,0,2
250121972,87.5,22,19,0,0,0,1,2
250096737,87.5,18,16,0,0,0,1,2
250006998,87.5,11,10,0,0,0,0,2
250041564,87.5,5,4,0,0,0,1,2
250130406,87.4,211,183,30.44,23,7,0,5
250102866,87.4,185,164,0,2,0,1,5
250200228,87.4,162,142,33.34,3,1,3,5
250181712,87.34,134,121,0,0,0,6,3
