,id_player,fouls_committed,fouls_suffered,yellow_cards,red_cards
0,250132811,14,7,1,0
1,250112690,13,7,1,0
2,250105927,12,10,1,0
3,250065419,12,5,2,0
4,250089289,12,3,2,0
5,250129965,11,9,1,0
6,250196588,11,6,0,0
7,250198240,10,15,2,0
8,250128377,10,14,1,0
9,250087938,10,7,0,0
10,250091290,10,5,2,0
11,250134536,10,4,1,0
12,250081553,10,3,1,0
13,250089225,10,2,2,0
14,250053044,10,2,1,0
15,250128398,9,13,2,0
16,250101727,9,10,1,0
17,250025791,9,9,2,0
18,250196712,9,8,1,0
19,250121149,9,7,1,0
20,250167111,9,7,0,0
21,250106939,9,7,0,0
22,250132407,9,6,3,0
23,250134728,9,6,2,0
24,250169730,9,6,1,0
25,250112969,9,6,0,0
26,250119677,9,4,3,0
27,250079383,9,4,2,0
28,250065413,9,4,0,0
29,250169764,9,3,3,0
30,250121132,9,2,2,0
31,250191448,9,1,1,0
32,250112186,9,1,0,0
33,250200228,8,15,2,0
34,250088061,8,13,1,0
35,250064274,8,11,1,0
36,250124460,8,10,1,0
37,250112122,8,9,0,0
38,250017824,8,7,0,0
39,250096954,8,6,1,0
40,250078012,8,6,1,0
41,250121533,8,5,2,0
42,250161140,8,5,2,0
43,250171301,8,5,0,0
44,250147342,8,4,1,0
45,250103243,8,3,2,1
46,1906768,8,3,2,0
47,250189047,8,3,1,0
48,250127284,8,2,0,0
49,250028211,8,1,1,0
50,250055957,8,1,1,0
51,250064273,8,0,0,0
52,250187238,7,16,2,0
53,250112224,7,12,1,0
54,250136465,7,11,2,0
55,250016616,7,9,1,0
56,250127538,7,9,0,0
57,250135101,7,8,1,1
58,250144858,7,7,1,0
59,250172672,7,6,3,0
60,250157930,7,6,2,0
61,250066747,7,6,0,0
62,250174063,7,6,0,0
63,250102868,7,5,3,0
64,250161248,7,5,2,0
65,250064252,7,5,2,0
66,250102035,7,5,2,0
67,250171067,7,5,2,0
68,250200231,7,5,2,0
69,250112978,7,4,2,0
70,250113001,7,4,1,0
71,250058227,7,4,0,0
72,250132323,7,3,2,1
73,250176453,7,3,1,0
74,250171283,7,3,1,0
75,250134320,7,3,1,0
76,250174126,7,3,0,0
77,250163454,7,3,0,0
78,250118391,7,3,0,0
79,250115192,7,3,0,0
80,250161141,7,3,0,0
81,250077453,7,3,0,0
82,250130786,7,2,2,0
83,250086315,7,2,2,0
84,250169706,7,2,1,0
85,250004721,7,2,1,0
86,250139010,7,1,1,0
87,250113947,7,1,1,0
88,250200298,7,1,0,0
89,250056685,7,1,0,0
90,250129341,7,0,2,0
91,250132810,7,0,1,0
92,250123978,7,0,0,0
93,250123677,6,13,3,0
94,250196709,6,12,0,0
95,250188474,6,11,3,0
96,250138928,6,11,0,0
97,250117405,6,10,1,0
98,250160436,6,10,0,0
99,250096849,6,10,0,0
100,250113276,6,9,2,0
101,250129746,6,9,2,0
102,250066886,6,8,2,1
103,250089228,6,7,1,0
104,250091199,6,7,1,0
105,250176450,6,7,0,0
106,250101557,6,6,2,0
107,250128270,6,6,2,0
108,250117806,6,6,1,0
109,250078593,6,6,0,0
110,250130414,6,6,0,0
111,250099180,6,6,0,0
112,250194673,6,6,0,0
113,250148830,6,5,1,0
114,250049573,6,4,2,0
115,250124169,6,4,1,0
116,250156235,6,4,0,0
117,250134304,6,3,2,0
118,250058258,6,3,2,0
119,250127111,6,3,1,0
120,250054949,6,3,1,0
121,250052554,6,3,0,0
122,250061361,6,3,0,0
123,250077679,6,2,1,0
124,250017040,6,2,1,0
125,250068733,6,2,1,0
126,250135339,6,2,0,0
127,250142158,6,2,0,0
128,250112974,6,1,1,0
129,250092517,6,1,1,0
130,250106649,6,1,1,0
131,250177423,6,1,1,0
132,250107324,6,1,1,0
133,250014709,6,1,0,0
134,250055663,6,0,2,0
135,250079545,6,0,1,0
136,250081207,6,0,1,0
137,250090809,6,0,0,0
138,250092194,6,0,0,0
139,250113211,5,15,2,0
140,250181680,5,12,2,0
141,250002096,5,12,0,0
142,250064027,5,10,0,0
143,250106967,5,9,2,0
144,250024456,5,8,3,0
145,250140940,5,7,2,0
146,250068805,5,7,0,0
147,250066739,5,6,2,0
148,250132730,5,6,2,0
149,250102308,5,6,1,0
