id_player,balls_recovered,tackles,tackles_won,tackles_lost,clearance_attempted
250112978,14,7,3,4,9
250106148,14,7,3,4,3
250130414,14,5,3,2,3
250112842,14,5,3,2,3
250081921,14,3,2,1,12
250110361,14,3,1,2,3
250019346,14,2,0,2,10
250014636,14,2,0,2,2
250161141,13,13,1,12,7
250101728,13,7,4,3,4
250086789,13,7,2,5,6
74699,13,7,1,6,2
250128255,13,5,2,3,5
250090809,13,4,2,2,12
250191448,13,4,2,2,5
250197801,13,4,1,3,4
250058220,13,4,1,3,3
250089719,13,2,1,1,7
250127239,13,2,0,2,6
250118964,12,11,4,7,2
250134728,12,9,2,7,7
250154416,12,8,1,7,5
250171184,12,7,2,5,1
250068733,12,6,5,1,3
250102417,12,6,3,3,10
250066157,12,6,3,3,9
250040521,12,6,3,3,6
250139036,12,6,3,3,3
250076631,12,6,2,4,5
250116067,12,6,2,4,2
250188246,12,5,5,0,4
250198114,12,3,3,0,0
250064232,12,3,1,2,2
250102901,12,2,1,1,2
250139445,12,2,0,2,1
250146610,12,0,0,0,3
250163186,11,9,4,5,1
250013058,11,6,3,3,4
250071671,11,6,3,3,1
250106967,11,6,2,4,1
250056685,11,5,2,3,5
250042631,11,5,2,3,1
250043066,11,5,1,4,17
250079279,11,5,1,4,3
250115436,11,4,1,3,5
250200231,11,4,0,4,2
250065301,11,3,2,1,4
250005335,11,3,2,1,2
250112122,11,3,1,2,3
250042632,11,3,1,2,1
250112803,11,3,0,3,3
250026229,11,2,2,0,4
250163224,11,2,1,1,7
250107509,11,2,1,1,5
250169685,11,2,0,2,11
250164004,11,1,1,0,1
250097638,11,1,0,1,3
250064233,11,1,0,1,1
250171055,11,1,0,1,0
250041771,10,10,6,4,0
250156235,10,9,1,8,1
250080572,10,8,3,5,2
250081553,10,8,2,6,5
250058044,10,7,4,3,12
250067334,10,5,2,3,0
250129746,10,5,1,4,4
98023,10,4,2,2,4
250063957,10,4,2,2,2
250194557,10,4,1,3,9
250200298,10,4,1,3,1
250166930,10,4,1,3,0
