id_player,passing_accuracy(%),passes_attempted,passes_completed,crossing_accuracy(%),crosses_attempted,crosses_completed,free_kick_taken,matches_appearance
250050416,100,21,21,0,0,0,0,2
250089626,100,18,18,0,0,0,0,3
1902445,100,14,14,0,0,0,0,1
250169763,100,10,10,0,0,0,0,2
250190378,100,9,9,0,0,0,0,1
250193442,100,8,8,0,0,0,1,1
250133903,100,7,7,0,0,0,0,2
250176477,100,6,6,0,0,0,0,1
250127426,100,6,6,0,0,0,0,1
250022366,100,5,5,0,0,0,1,1
250176187,100,5,5,0,0,0,0,1
250087431,100,5,5,0,0,0,0,1
250199913,100,3,3,0,1,0,1,1
250187793,100,3,3,0,0,0,0,1
250138999,100,3,3,0,0,0,0,1
250128391,100,3,3,0,0,0,0,1
250189107,100,3,3,0,0,0,0,1
250154309,100,3,3,0,0,0,0,1
250176485,100,2,2,0,0,0,0,1
250165221,100,2,2,0,0,0,0,1
250174602,100,1,1,0,0,0,0,1
250088122,100,1,1,0,0,0,0,1
250192873,100,1,1,0,0,0,0,1
250196544,100,1,1,0,0,0,0,1
250090398,100,1,1,0,0,0,0,1
250180059,99,55,54,100,1,1,1,2
250086709,98.25,107,104,0,2,0,5,4
250064233,97.5,188,184,0,1,0,1,2
250182606,97.5,68,65,100,1,1,3,2
250138626,97.5,60,58,0,0,0,0,2
250132195,97.4,147,137,20,10,2,1,5
250200308,97.34,426,414,0,0,0,4,6
250027008,97,154,149,0,1,0,1,2
250132322,97,70,66,0,0,0,1,2
250136445,97,30,29,0,0,0,1,1
250162325,96.84,495,482,0,2,0,3,6
250122983,96.5,403,388,0,1,0,3,6
250028705,96.5,47,45,0,0,0,0,2
250055660,96.34,449,434,50,2,1,6,6
250139101,96.34,17,16,66.67,3,2,3,3
250058220,96.25,242,234,0,0,0,6,4
250094540,96,435,417,0,0,0,4,4
250023551,96,119,114,0,0,0,1,2
250089688,96,49,47,0,0,0,1,1
250176491,96,24,23,0,0,0,1,1
250129446,95.75,220,209,0,0,0,5,4
250085369,95.6,420,400,0,0,0,4,5
250163777,95.5,161,155,0,1,0,1,2
250089824,95.5,34,32,0,0,0,0,2
250194573,95.34,15,14,0,0,0,0,3
50327420,95.17,474,452,0,0,0,13,6
250121218,95.17,353,334,0,0,0,13,6
250064064,95,548,525,0,2,0,8,6
250079677,95,206,195,0,0,0,4,4
250041781,95,168,161,0,1,0,1,2
250104101,95,24,22,0,0,0,0,2
250169685,94.8,276,265,0,0,0,2,5
250172907,94.8,266,251,0,0,0,5,5
250105244,94.8,190,179,0,1,0,9,5
250067630,94.6,397,377,0,1,0,9,5
250112803,94.6,153,146,0,1,0,5,5
250114167,94.6,133,123,0,5,0,2,5
250174126,94.34,541,517,0,0,0,6,6
250128270,94.25,112,106,50,2,1,3,4
250079545,94.17,469,442,0,1,0,6,6
250005335,94.17,417,392,35.72,14,5,6,6
250017040,94.17,357,338,0,0,0,13,6
250014636,94,166,153,14.29,14,2,8,4
250058215,94,92,88,0,1,0,3,4
250172062,94,16,15,0,0,0,0,1
250127024,94,16,15,0,0,0,0,1
250176453,93.84,443,421,0,0,0,12,6
250127284,93.84,420,395,33.34,3,1,7,6
250139207,93.84,420,394,50,2,1,5,6
250101444,93.84,407,381,54.55,11,6,10,6
250138653,93.8,136,128,0,3,0,4,5
250091198,93.75,228,215,0,0,0,4,4
250189506,93.67,448,420,0,0,0,9,6
250101284,93.67,254,236,0,3,0,8,6
250067295,93.67,133,126,0,0,0,2,3
250028211,93.5,321,300,0,0,0,12,6
50327428,93.4,283,267,0,0,0,9,5
250145803,93.4,239,219,25,16,4,0,5
250014042,93.34,402,378,0,1,0,12,6
250121294,93.34,265,247,20,5,1,12,6
250101238,93.25,251,230,0,1,0,5,4
250063505,93.2,366,341,0,0,0,7,5
250091013,93.2,261,243,0,0,0,9,5
250127439,93.17,373,350,50,2,1,4,6
250113103,93.17,161,152,0,0,0,3,6
250040471,93,481,451,0,0,0,25,6
250196709,93,401,376,0,4,0,27,6
250129343,93,55,51,33.34,9,3,4,1
250180309,93,30,28,0,1,0,0,1
250128943,93,12,11,0,1,0,1,2
250168996,93,10,9,0,0,0,0,2
250004721,92.84,423,395,50,2,1,4,6
250106709,92.84,269,252,0,0,0,12,6
250163186,92.8,60,51,100,1,1,0,5
250132465,92.8,50,46,0,5,0,3,5
250042329,92.75,134,123,50,2,1,2,4
250014709,92.67,384,356,0,6,0,14,6
250144858,92.67,126,118,0,2,0,2,3
250081341,92.67,96,84,33.34,3,1,1,3
250065413,92.6,234,213,50,2,1,5,5
250089225,92.6,212,196,0,0,0,2,5
250121330,92.6,198,182,33.34,3,1,6,5
250073809,92.5,118,109,0,0,0,5,4
250144964,92.5,23,20,50,2,1,1,2
250121132,92.4,129,116,0,1,0,2,5
250188511,92.34,382,354,0,1,0,8,6
250174149,92.2,267,246,0,0,0,4,5
250066747,92.2,252,233,50,6,3,11,5
250064232,92.2,198,179,44.45,18,8,2,5
250064188,92.17,329,304,0,1,0,5,6
250134856,92,558,516,50,2,1,10,6
250176201,92,339,314,0,0,0,9,6
250087118,92,270,250,0,0,0,7,6
250042779,92,171,160,100,1,1,6,3
250087967,92,126,118,0,0,0,1,4
250200313,92,114,106,0,1,0,4,5
250078922,92,114,105,0,0,0,6,4
250010223,92,101,90,16.67,6,1,0,4
250153851,92,94,85,0,0,0,1,2
250116069,92,66,61,0,0,0,1,1
250193534,92,15,13,0,0,0,0,4
250112488,92,12,11,0,0,0,0,1
250161248,91.84,353,322,100,1,1,6,6
1909917,91.84,281,257,50,4,2,6,6
250101534,91.8,242,222,30,30,9,5,5
250041771,91.8,140,129,100,1,1,3,5
250124169,91.8,120,107,22.23,9,2,0,5
250121965,91.75,183,168,0,0,0,4,4
250076631,91.75,166,153,25,16,4,5,4
250132831,91.75,154,144,25,4,1,3,4
250187067,91.75,36,30,16.67,6,1,0,4
