id_player,cluster
250139445,0
250112880,0
250123677,0
250005335,0
250080553,0
250121533,0
250172668,0
250096698,0
250159544,0
250091187,2
250099180,0
250127347,1
250022829,0
250196712,0
250113211,0
250106939,0
250160436,0
250106148,0
250079003,0
250042422,0
250196588,0
250119181,0
250091165,0
250088061,0
250137390,0
250132323,0
250123428,2
250197796,2
250104939,2
250079670,2
250172787,1
250110894,1
250183092,2
250140940,0
250130406,0
250118504,0
250063984,2
250041626,0
250176450,0
250194573,1
250002096,0
250016833,0
250105927,0
250103758,0
250102035,0
250153402,0
250146674,0
250132811,0
250121294,0
250086315,2
250169706,0
250147342,2
250127111,0
250101534,0
250183519,0
250019498,0
250081555,2
250081223,2
250198114,2
250187067,2
250174063,2
250172672,0
250064446,0
250198119,2
250099258,0
250063394,2
250055216,1
250117705,0
250171301,0
250171184,0
250087938,0
250135339,2
250096849,0
250040471,0
250028211,0
250187238,0
250130414,0
250097909,0
250064188,0
250145803,0
250079677,0
250017824,2
250189506,0
250171055,0
250169705,0
250167977,2
250153849,0
250144965,2
250134304,0
250124460,0
250121218,0
250112224,0
250108215,0
250105167,2
250104066,0
250102308,2
250091290,0
250089228,0
250086789,0
250079383,2
250078012,0
250076574,0
250064274,0
250055663,0
250144297,2
250116904,2
250115487,2
250081207,2
250067629,2
250040521,2
250028715,0
250181460,2
250174830,2
250164780,2
250092194,1
250081720,2
1903428,2
250138985,1
250137525,1
1905153,0
250200231,2
250167111,0
250134320,0
250118281,2
250107324,2
250106969,0
250065301,0
250064252,0
250056159,0
250052469,0
250013022,0
250188225,2
250187620,2
250172673,2
250136464,2
250124849,2
250117405,0
250068805,2
250055110,2
250032786,2
250024456,2
250193541,2
250161142,1
250141861,2
250135615,1
250043066,2
250066156,1
250064482,1
50327420,0
250162865,2
250162325,0
250131901,0
250124430,0
250119677,0
250118964,0
250112186,0
250092668,0
250091013,0
250089289,2
250023009,0
250194673,2
250145629,0
250129446,2
250091828,2
250063505,0
250041771,2
250181712,2
250134190,1
250123978,1
250064233,1
250052849,1
250156459,0
250177879,1
98078,2
98023,2
97923,2
97746,2
74954,2
74699,2
250200313,2
250200308,0
250200298,2
250200228,0
250198240,0
250196709,0
250196543,2
250189363,0
250189047,2
250188511,0
250188247,0
250187759,0
250187672,0
250187221,2
250187184,2
250181680,0
250177886,0
250177497,0
250176453,0
250176201,0
250174126,0
250173502,2
250173126,0
250171278,2
250169764,0
250169730,0
250164991,0
250163786,0
250163623,0
250163454,0
250163400,0
250161248,0
250161141,2
250161140,2
250158901,0
250158476,0
250157930,0
250157134,2
250156457,0
250156235,2
250153945,0
250153349,0
250146610,2
250145845,0
250143693,0
250139207,0
250138928,2
250136465,0
250135068,2
250134856,0
250134536,0
250134138,0
250132730,2
250132407,0
250132401,0
250132399,0
250131541,0
250130786,0
250130234,0
250129965,0
250129746,0
250129175,2
250128409,2
250128385,2
250128377,0
250128255,0
250128120,0
250127540,2
250127492,0
250127439,0
250127284,0
250125538,0
250124006,2
250123910,2
250123695,0
250122983,0
250122213,0
250121584,2
250121149,0
250121132,0
250121017,2
250118391,0
250117806,2
250117406,2
250116951,2
250116734,0
250115436,2
250115192,0
250113993,0
250113444,2
250113276,0
250113103,0
250113001,0
250112978,0
250112974,0
250112969,0
250112803,0
250112690,0
250112400,0
250112217,0
250112122,0
250110734,0
250107477,0
250106709,0
250105818,2
250105612,2
250104075,0
250102868,0
250102866,0
250101727,0
250101557,0
250101444,0
250101284,0
250101097,2
250099671,0
250098471,0
250097638,0
250096954,0
250096716,0
250096309,0
250090766,0
250087118,0
250087102,2
250086316,0
250086037,0
250085751,0
250085475,2
250085369,0
250082469,2
250081921,2
250079545,0
250077679,0
250076126,0
250070417,0
250068808,0
250067630,0
250065419,0
250064444,0
250064064,0
250064027,0
250063980,2
250061721,0
250061027,0
250058258,0
250058227,0
250056566,2
250055660,0
250053044,0
250051754,0
250049573,2
250046522,0
250042780,2
250042631,2
250041770,0
250040573,2
250029535,0
250027780,0
250025791,0
250024370,0
250024349,0
250023097,0
250019616,2
250019573,0
250017040,0
250016616,0
250014709,0
250014042,0
250012069,2
250006714,2
250005343,0
250004721,0
250004363,0
250000679,0
1909917,0
104733,0
102420,2
50327428,2
50327423,2
250198501,2
250198274,2
250196586,0
250193531,2
250193519,2
250193518,2
250192048,2
250191448,2
250188474,0
250188223,2
250187899,1
250187143,2
250177722,2
250174851,2
250174822,0
250174149,0
250172907,0
250171283,0
250171067,0
250169685,2
250168990,2
250168465,2
250166930,2
250166916,2
250164835,2
250164785,2
250163186,2
250162177,2
250161881,2
250155799,2
250154416,2
250153701,2
250153634,2
250148830,0
250146926,2
250142271,2
250142158,2
250141610,2
250139010,0
250138982,1
250138653,2
250135672,0
250135416,2
250135101,0
250133390,2
250132886,2
250132831,2
250132465,2
250132195,2
250129341,0
250128398,2
250128270,2
250127538,0
250127239,2
250126449,0
250124222,2
250124169,2
250124068,0
250123304,2
250121965,2
250121552,2
250121330,2
250117410,0
250114167,2
250113947,2
250113392,2
250113373,2
250113237,2
250112842,2
250106967,0
250106935,2
250106722,2
250106649,2
250105244,2
250103562,2
250103243,0
250102901,2
250101728,2
250101723,2
250101696,2
250101472,2
250101238,2
250101201,2
250101144,2
250097337,2
250092517,2
250091199,2
250091175,2
250091172,2
250090809,2
250089225,0
250089209,2
250088150,2
250088104,2
250083732,0
250081721,2
250081553,0
250080572,2
250080570,2
250079541,2
250079279,2
250078593,0
250077453,2
250076631,2
250076357,0
250074010,2
250071671,2
250069832,2
250068733,2
250066886,0
250066747,2
250066739,2
250066157,2
250065413,2
250064273,2
250064232,0
250061361,2
250059115,2
250058722,2
250055957,2
250054949,2
250052554,0
250051291,2
250029318,2
250022869,2
250020850,2
250015966,2
250005231,2
250003318,2
1902685,2
107044,1
103335,2
250197801,2
250196665,1
250196664,1
250193534,1
250189052,2
250187837,2
250186923,2
250185976,1
250181428,1
250177423,2
250174849,1
250172340,1
250166754,2
250163731,1
250163447,1
250160568,2
250156002,2
250144858,2
250143328,2
250139255,1
250139101,1
250138382,2
250135607,1
250134728,2
250132829,2
250132810,2
250129735,1
250128468,2
250128451,2
250128222,1
250126267,1
250122746,2
250122187,2
250118797,1
250117511,1
250117471,1
250116067,2
250115948,2
250115134,2
250113142,2
250110159,1
250105717,2
250104089,1
250101313,1
